wine_name,wine_producer,rating,country,price,region
Unico (Gran Reserva) 2010,Vega Sicilia,4.8, Espagne,458.2,Ribera del Duero
Sauternes 2015,Château d'Yquem,4.8, France,440.0,Sauternes
Don PX Convento Selección 1946,Toro Albalá,4.8, Espagne,499.4,Montilla-Moriles
Sauternes 2017,Château d'Yquem,4.8, France,431.3,Sauternes
Viña El Pison 2018,Artadi,4.8, Espagne,394.33,Vino de España
Fieramonte Amarone della Valpolicella Riserva 2012,Allegrini,4.8, Italie,378.94,Amarone della Valpolicella
Corpus Amarone della Valpolicella 2008,Villa Rinaldi,4.8, Italie,304.75,Amarone della Valpolicella
L'Amédée 1945,Domaine de Besombes Singla,4.8, France,145.0,Languedoc-Roussillon
Riesling 'Le Gallais' Wiltinger Braune Kupp Auslese 2019,Egon Müller - Scharzhof,4.8, Allemagne,408.87,Wiltingen
Romane 2020,Château de Birazel,4.8, France,23.0,Bordeaux
The Eye of Rã 2016,Glaetzer,4.8, Australie,434.5,Vallée de la Barossa
Unico Reserva Especial Edición,Vega Sicilia,4.7, Espagne,450.0,Ribera del Duero
Amarone della Valpolicella Monte Lodoletta 2016,Dal Forno Romano,4.7, Italie,458.0,Amarone della Valpolicella
Valbuena 5º (Reserva) 2015,Vega Sicilia,4.7, Espagne,164.88,Ribera del Duero
Pauillac (Grand Cru Classé) 2009,Château Pontet-Canet,4.7, France,315.0,Pauillac
Brut Champagne 1996,Dom Pérignon,4.7, France,460.0,Champagne
Valbuena 5º (Reserva) 2017,Vega Sicilia,4.7, Espagne,170.0,Ribera del Duero
Tenuta Tignanello 'Solaia' 2015,Antinori,4.7, Italie,375.0,Toscane
Sauternes 1995,Château d'Yquem,4.7, France,355.0,Sauternes
Tenuta Tignanello 'Solaia' 2009,Antinori,4.7, Italie,488.49,Toscane
Sauternes 1997,Château d'Yquem,4.7, France,390.0,Sauternes
Vigneto Il Fornetto Amarone della Valpolicella Classico Riserva 1995,Stefano Accordini,4.7, Italie,282.9,Amarone della Valpolicella Classico
Sauternes 2005,Château d'Yquem,4.7, France,404.0,Sauternes
Valbuena 5º (Reserva) 2018,Vega Sicilia,4.7, Espagne,465.0,Ribera del Duero
Amarone della Valpolicella Classico Vigneto Alto TB 1997,Bussola,4.7, Italie,434.7,Amarone della Valpolicella Classico
Unico (Gran Reserva) 2010,Vega Sicilia,4.8, Espagne,458.2,Ribera del Duero
Sauternes 2015,Château d'Yquem,4.8, France,440.0,Sauternes
Don PX Convento Selección 1946,Toro Albalá,4.8, Espagne,499.4,Montilla-Moriles
Sauternes 2017,Château d'Yquem,4.8, France,431.3,Sauternes
Viña El Pison 2018,Artadi,4.8, Espagne,394.33,Vino de España
Fieramonte Amarone della Valpolicella Riserva 2012,Allegrini,4.8, Italie,378.94,Amarone della Valpolicella
Corpus Amarone della Valpolicella 2008,Villa Rinaldi,4.8, Italie,304.75,Amarone della Valpolicella
L'Amédée 1945,Domaine de Besombes Singla,4.8, France,145.0,Languedoc-Roussillon
